concept_id,concept_code,concept_name,rxnorm_mapping
21175510,OMOP294606,1 ML Spironolactone 6 MG/ML Oral Suspension,Quant Clinical Drug
21087158,OMOP294609,1 ML Spironolactone 7 MG/ML Oral Solution,Quant Clinical Drug
21175511,OMOP294611,1 ML Spironolactone 7 MG/ML Oral Suspension,Quant Clinical Drug
21028265,OMOP294483,1 ML Spironolactone 8 MG/ML Oral Solution,Quant Clinical Drug
21175505,OMOP294485,1 ML Spironolactone 8 MG/ML Oral Suspension,Quant Clinical Drug
40900094,OMOP2098056,Acetyldigoxins 0.2 MG / Spironolactone 50 MG Oral Tablet,Clinical Drug
40962490,OMOP2160452,Acetyldigoxins 0.2 MG / Spironolactone 50 MG Oral Tablet Box of 100,Clinical Drug Box
40837897,OMOP2035859,Acetyldigoxins 0.2 MG / Spironolactone 50 MG Oral Tablet Box of 20,Clinical Drug Box
41056009,OMOP2253971,Acetyldigoxins 0.2 MG / Spironolactone 50 MG Oral Tablet Box of 50,Clinical Drug Box
41099222,OMOP2297184,Acetyldigoxins 0.2 MG / Spironolactone 50 MG Oral Tablet [Spirodigal],Branded Drug
41286197,OMOP2484159,Acetyldigoxins 0.2 MG / Spironolactone 50 MG Oral Tablet [Spirodigal] Box of 100,Branded Drug Box
41036506,OMOP2234468,Acetyldigoxins 0.2 MG / Spironolactone 50 MG Oral Tablet [Spirodigal] Box of 20,Branded Drug Box
41255191,OMOP2453153,Acetyldigoxins 0.2 MG / Spironolactone 50 MG Oral Tablet [Spirodigal] Box of 50,Branded Drug Box
41200479,OMOP2398441,Acetyldigoxins 0.2 MG / Spironolactone 50 MG Oral Tablet [Spirodigal] Box of 50 by Hormosan,Marketed Product
41142351,OMOP2340313,Acetyldigoxins 0.2 MG / Spironolactone 50 MG [Spirodigal],Branded Drug Comp
40955532,OMOP2153494,Acetyldigoxins / Spironolactone Oral Tablet,Clinical Drug Form
40957800,OMOP2155762,Acetyldigoxins / Spironolactone Oral Tablet [Spirodigal],Branded Drug Form
36234548,1174846,Aldactazide Oral Product,Branded Dose Group
36234549,1174847,Aldactazide Pill,Branded Dose Group
36234550,1174848,Aldactone Oral Product,Branded Dose Group
36234551,1174849,Aldactone Pill,Branded Dose Group
43209996,OMOP454757,althiazide 15 MG / Spironolactone 25 MG [Aldactazide],Branded Drug Comp
36264332,OMOP3115207,althiazide 15 MG / Spironolactone 25 MG [Aldactazine],Branded Drug Comp
43144068,OMOP454768,althiazide 15 MG / Spironolactone 25 MG [ALTIZIDE SPIRONOLACTONE RPG],Branded Drug Comp
43144069,OMOP454862,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet,Clinical Drug
43199218,OMOP454871,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet Box of 30,Clinical Drug Box
43024568,OMOP4839674,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet Box of 30 by Arrow,Marketed Product
43024567,OMOP4839673,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet Box of 30 by Eurogenerics,Marketed Product
43024565,OMOP4839671,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet Box of 30 by Mylan,Marketed Product
43024566,OMOP4839672,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet Box of 30 by TEVA,Marketed Product
43166224,OMOP454877,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet Box of 90,Clinical Drug Box
43024571,OMOP4839677,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet Box of 90 by Eurogenerics,Marketed Product
43024569,OMOP4839675,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet Box of 90 by Mylan,Marketed Product
43024570,OMOP4839676,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet Box of 90 by TEVA,Marketed Product
43199219,OMOP454885,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIROCTAZINE],Branded Drug
43144070,OMOP454896,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIROCTAZINE] Box of 30,Branded Drug Box
43155206,OMOP454903,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIROCTAZINE] Box of 30 by Leurquin Mediolanum,Marketed Product
43166225,OMOP454910,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE ARROW],Branded Drug
43133180,OMOP454918,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE ARROW] Box of 30,Branded Drug Box
43177225,OMOP454925,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE ARROW] Box of 30 by Arrow,Marketed Product
43144071,OMOP454933,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE E],Branded Drug
43188176,OMOP454943,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE E] Box of 30,Branded Drug Box
43199220,OMOP454953,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE E] Box of 30 by Eurogenerics,Marketed Product
43199221,OMOP454962,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE E] Box of 90,Branded Drug Box
43133181,OMOP454972,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE E] Box of 90 by Eurogenerics,Marketed Product
43177226,OMOP454982,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE MYLAN],Branded Drug
43188177,OMOP454993,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE MYLAN] Box of 30,Branded Drug Box
43209998,OMOP455003,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE MYLAN] Box of 30 by Mylan,Marketed Product
43155207,OMOP455010,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE MYLAN] Box of 90,Branded Drug Box
43188178,OMOP455013,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE MYLAN] Box of 90 by Mylan,Marketed Product
43199222,OMOP455018,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE TEVA],Branded Drug
43199223,OMOP455024,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE TEVA] Box of 30,Branded Drug Box
43144072,OMOP455030,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE TEVA] Box of 30 by TEVA,Marketed Product
43155208,OMOP455040,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE TEVA] Box of 90,Branded Drug Box
43209999,OMOP455048,althiazide 15 MG / Spironolactone 25 MG Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE TEVA] Box of 90 by TEVA,Marketed Product
19107515,432636,althiazide 15 MG / Spironolactone 25 MG Oral Tablet,Clinical Drug
43177228,OMOP455092,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazide],Branded Drug
43177230,OMOP455129,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazide] Box of 100,Branded Drug Box
43155210,OMOP455140,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazide] Box of 100 by Pfizer,Marketed Product
43155209,OMOP455096,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazide] Box of 30,Branded Drug Box
43188179,OMOP455101,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazide] Box of 30 by Pfizer,Marketed Product
43210001,OMOP455109,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazide] Box of 90,Branded Drug Box
43177229,OMOP455121,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazide] Box of 90 by Pfizer,Marketed Product
36276155,OMOP3127030,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine],Branded Drug
43024584,OMOP4839689,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine] Box of 100,Branded Drug Box
43024585,OMOP4839690,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine] Box of 100 by Pfizer,Marketed Product
36265906,OMOP3116781,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine] Box of 28,Branded Drug Box
36263828,OMOP3114703,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine] Box of 28 by Continental,Marketed Product
43024580,OMOP4839685,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine] Box of 30,Branded Drug Box
43024581,OMOP4839686,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine] Box of 30 by Pfizer,Marketed Product
43024582,OMOP4839687,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine] Box of 90,Branded Drug Box
43024583,OMOP4839688,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine] Box of 90 by Pfizer,Marketed Product
36263360,OMOP3114235,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine] Box of 98,Branded Drug Box
36258862,OMOP3109737,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [Aldactazine] Box of 98 by Continental,Marketed Product
43155211,OMOP455151,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [ALTIZIDE SPIRONOLACTONE RPG],Branded Drug
43155212,OMOP455162,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [ALTIZIDE SPIRONOLACTONE RPG] Box of 30,Branded Drug Box
43177231,OMOP455172,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [ALTIZIDE SPIRONOLACTONE RPG] Box of 30 by Ranbaxy,Marketed Product
43177227,OMOP455082,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 100,Clinical Drug Box
36267532,OMOP3118407,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 28,Clinical Drug Box
43166227,OMOP455324,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 30,Clinical Drug Box
43024574,OMOP4839680,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 30 by Biogaran,Marketed Product
43024576,OMOP4839682,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 30 by Pfizer,Marketed Product
43024573,OMOP4839679,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 30 by Ranbaxy,Marketed Product
43024575,OMOP4839681,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 30 by Sandoz,Marketed Product
43024572,OMOP4839678,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 30 by Zentiva,Marketed Product
43210000,OMOP455071,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 90,Clinical Drug Box
43024578,OMOP4839683,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 90 by Biogaran,Marketed Product
43024579,OMOP4839684,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 90 by Pfizer,Marketed Product
36259791,OMOP3110666,althiazide 15 MG / Spironolactone 25 MG Oral Tablet Box of 98,Clinical Drug Box
43155213,OMOP455181,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE BIOGARAN],Branded Drug
43155214,OMOP455189,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE BIOGARAN] Box of 30,Branded Drug Box
43144073,OMOP455200,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE BIOGARAN] Box of 30 by Biogaran,Marketed Product
43133182,OMOP455211,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE BIOGARAN] Box of 90,Branded Drug Box
43199224,OMOP455223,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE BIOGARAN] Box of 90 by Biogaran,Marketed Product
43144074,OMOP455230,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE PFIZER],Branded Drug
43155215,OMOP455237,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE PFIZER] Box of 30,Branded Drug Box
43155216,OMOP455248,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE PFIZER] Box of 30 by Pfizer,Marketed Product
43144075,OMOP455259,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE PFIZER] Box of 90,Branded Drug Box
43188180,OMOP455267,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE PFIZER] Box of 90 by Pfizer,Marketed Product
43166226,OMOP455278,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE SANDOZ],Branded Drug
43188181,OMOP455289,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE SANDOZ] Box of 30,Branded Drug Box
43199225,OMOP455300,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE SANDOZ] Box of 30 by Sandoz,Marketed Product
43144076,OMOP455332,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE ZENTIVA],Branded Drug
43166228,OMOP455340,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE ZENTIVA] Box of 30,Branded Drug Box
43210002,OMOP455348,althiazide 15 MG / Spironolactone 25 MG Oral Tablet [SPIRONOLACTONE ALTIZIDE ZENTIVA] Box of 30 by Sanofi,Marketed Product
43209997,OMOP454779,althiazide 15 MG / Spironolactone 25 MG [SPIROCTAZINE],Branded Drug Comp
43133178,OMOP454789,althiazide 15 MG / Spironolactone 25 MG [SPIRONOLACTONE ALTIZIDE ARROW],Branded Drug Comp
43155203,OMOP454797,althiazide 15 MG / Spironolactone 25 MG [SPIRONOLACTONE ALTIZIDE BIOGARAN],Branded Drug Comp
43155204,OMOP454808,althiazide 15 MG / Spironolactone 25 MG [SPIRONOLACTONE ALTIZIDE E],Branded Drug Comp
43155205,OMOP454819,althiazide 15 MG / Spironolactone 25 MG [SPIRONOLACTONE ALTIZIDE MYLAN],Branded Drug Comp
43133179,OMOP454830,althiazide 15 MG / Spironolactone 25 MG [SPIRONOLACTONE ALTIZIDE PFIZER],Branded Drug Comp
43177224,OMOP454841,althiazide 15 MG / Spironolactone 25 MG [SPIRONOLACTONE ALTIZIDE SANDOZ],Branded Drug Comp
43188175,OMOP454852,althiazide 15 MG / Spironolactone 25 MG [SPIRONOLACTONE ALTIZIDE TEVA],Branded Drug Comp
43155217,OMOP455310,althiazide 15 MG / Spironolactone 25 MG [SPIRONOLACTONE ALTIZIDE ZENTIVA],Branded Drug Comp
43177223,OMOP454643,althiazide / Spironolactone Delayed Release Oral Tablet,Clinical Drug Form
43188172,OMOP454652,althiazide / Spironolactone Delayed Release Oral Tablet [SPIROCTAZINE],Branded Drug Form
43188173,OMOP454662,althiazide / Spironolactone Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE ARROW],Branded Drug Form
43166223,OMOP454669,althiazide / Spironolactone Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE E],Branded Drug Form
43155200,OMOP454678,althiazide / Spironolactone Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE MYLAN],Branded Drug Form
43209995,OMOP454685,althiazide / Spironolactone Delayed Release Oral Tablet [SPIRONOLACTONE ALTIZIDE TEVA],Branded Drug Form
36215127,1156535,althiazide / Spironolactone Oral Product,Clinical Dose Group
40092812,451919,althiazide / Spironolactone Oral Tablet,Clinical Drug Form
43155201,OMOP454702,althiazide / Spironolactone Oral Tablet [Aldactazide],Branded Drug Form
36269739,OMOP3120614,althiazide / Spironolactone Oral Tablet [Aldactazine],Branded Drug Form
43199216,OMOP454709,althiazide / Spironolactone Oral Tablet [ALTIZIDE SPIRONOLACTONE RPG],Branded Drug Form
43188174,OMOP454718,althiazide / Spironolactone Oral Tablet [SPIRONOLACTONE ALTIZIDE BIOGARAN],Branded Drug Form
